t_sim;S_sim;I_sim;R_sim;R0_sim
281;0.853112851851852;0.00511919469135803;0.141767975308642;1.1
282;0.852171191919192;0.00505579323232323;0.142773101010101;1.09520202020202
283;0.851238127946128;0.00499221882154882;0.143769734006734;1.08846801346801
284;0.850305063973064;0.00492864441077441;0.144766367003367;1.08173400673401
285;0.849372;0.00486507;0.145763;1.075
286;0.848515333333333;0.00476067259259259;0.146723851851852;1.05
287;0.847694626262626;0.00465895606060606;0.147646151515152;1.04520202020202
288;0.846887084175084;0.00455822070707071;0.148554434343434;1.03846801346801
289;0.846079542087542;0.00445748535353535;0.149462717171717;1.03173400673401
290;0.845272;0.00435675;0.150371;1.025
291;0.844549432098765;0.00422405271604938;0.151226518518519;1
292;0.843868191919192;0.00409772232323233;0.152034090909091;0.99520202020202
293;0.843201794612795;0.00397371154882155;0.152824393939394;0.988468013468013
294;0.842535397306397;0.00384970077441078;0.153614696969697;0.981734006734007
295;0.841869;0.00372569;0.154405;0.975
296;0.841287111111111;0.00357980407407408;0.155132432098765;0.95
297;0.840753530451004;0.00344508889169319;0.155800666081422;0.95
298;0.840237783715571;0.00331449084494678;0.156447214967629;0.95
299;0.839722036980138;0.00318389279820037;0.157093763853835;0.95
300;0.839206290244705;0.00305329475145397;0.157740312740042;0.95
301;0.838706500841009;0.00292650063836604;0.158367067521025;0.95
302;0.838293044693633;0.00282028678173809;0.158886731117341;0.95
303;0.837879588546255;0.00271407292511013;0.159406394713656;0.95
304;0.837466132398879;0.00260785906848218;0.159926058309972;0.95
305;0.837052676251502;0.00250164521185422;0.160445721906288;0.95
306;0.836639220104125;0.00239543135522627;0.160965385502603;0.95
307;0.836225763956748;0.00228921749859832;0.161485049098919;0.95
308;0.835898669149447;0.00220417277270543;0.161897126621816;0.95
309;0.835579751962198;0.0021211325676758;0.162299016738747;0.95
310;0.835260834774948;0.00203809236264616;0.162700906855678;0.95
311;0.834941917587698;0.00195505215761653;0.163102796972609;0.95
312;0.834623000400449;0.0018720119525869;0.16350468708954;0.95
313;0.834304083213199;0.00178897174755726;0.163906577206471;0.95
314;0.834034234761714;0.00171828447577092;0.164247051021225;0.95
315;0.833788499879856;0.00165366773568282;0.164557343372046;0.95
316;0.833542764997998;0.00158905099559471;0.164867635722867;0.95
317;0.833297030116139;0.00152443425550661;0.165177928073688;0.95
318;0.833051295234281;0.0014598175154185;0.165488220424509;0.95
319;0.832805560352423;0.0013952007753304;0.16579851277533;0.95
320;0.832584171552138;0.00133680297933686;0.166078355277911;0.95
321;0.832395320038443;0.00128671648246036;0.166317503123498;0.95
322;0.832206468524748;0.00123662998558385;0.166556650969085;0.95
323;0.832017617011052;0.00118654348870735;0.166795798814672;0.95
324;0.831828765497357;0.00113645699183085;0.167034946660259;0.95
325;0.831639913983662;0.00108637049495435;0.167274094505847;0.95
326;0.831459122697421;0.001038388102675;0.167503018901169;0.95
327;0.831313839980778;0.000999675144161461;0.167686904853436;0.95
328;0.831168557264136;0.000960962185647926;0.167870790805702;0.95
329;0.831023274547493;0.000922249227134391;0.168054676757969;0.95
330;0.83087799183085;0.000883536268620857;0.168238562710235;0.95
331;0.830732709114208;0.000844823310107322;0.168422448662502;0.95
332;0.830587426397565;0.000806110351593787;0.168606334614769;0.95
333;0.830474123748498;0.000775736434841811;0.168750094753704;0.95
334;0.830362790148178;0.000745875962274731;0.168891384301161;0.95
335;0.830251456547857;0.00071601548970765;0.169032673848618;0.95
336;0.830140122947537;0.000686155017140569;0.169173963396075;0.95
337;0.830028789347217;0.000656294544573488;0.169315252943532;0.95
338;0.829917455746896;0.000626434072006408;0.169456542490989;0.95
339;0.829824167707833;0.000601379895002403;0.169574854797373;0.95
340;0.829738631907737;0.000578390466842864;0.169683296251802;0.95
341;0.82965309610764;0.000555401038683325;0.169791737706231;0.95
342;0.829567560307545;0.000532411610523787;0.16990017916066;0.95
343;0.829482024507448;0.000509422182364248;0.170008620615089;0.95
344;0.829396488707352;0.000486432754204709;0.170117062069518;0.95
345;0.829319547145606;0.000465738317969394;0.170214651699808;0.95
346;0.829252837716485;0.000447776254375515;0.170299321359846;0.95
347;0.829186128287364;0.000429814190781637;0.170383991019885;0.95
348;0.829119418858242;0.000411852127187758;0.170468660679923;0.95
349;0.829052709429121;0.000393890063593879;0.170553330339962;0.95
350;0.828986;0.000375928;0.170638;0.95
